artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Kanye West;Can't Tell Me Nothing;271600;2007;80.029;hip hop;0.62;5;-6.133
Sunshine Anderson;Heard It All Before;295826;2001;96.951;pop, R&B;0.925;3;-4.209
Trey Songz;Na Na;231906;2015;96.975;hip hop, pop, R&B;0.476;9;-6.253
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;248413;2013;116.047;hip hop, Dance/Electronic;0.811;6;-8.966
112;Peaches & Cream;193093;2001;203.862;hip hop, pop, R&B;0.52;4;-6.255
Normani;Motivation;193837;2019;170.918;pop, R&B;0.887;4;-3.967
MGMT;Kids;302840;2007;122.961;rock;0.931;9;-3.871
Wiz Khalifa;Black and Yellow;217666;2011;164.02;hip hop, pop;0.834;2;-4.524
Akon;I Wanna Love You;247066;2006;99.989;pop;0.45;0;-9.387
Flo Rida;I Cry;223800;2012;126.035;hip hop, pop;0.822;4;-5.441
Kanye West;Stronger;311866;2007;103.992;hip hop;0.717;10;-7.858
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Wyclef Jean;Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia);241133;2007;92.515;set();0.744;1;-3.51
Blue;U Make Me Wanna - Radio Edit;222400;2003;158.108;pop;0.736;7;-6.228
Flo Rida;Club Can't Handle Me (feat. David Guetta);234560;2010;127.966;hip hop, pop;0.869;0;-3.911
Girls Aloud;Sound Of The Underground;221426;2003;163.944;pop, Dance/Electronic;0.867;11;-5.861
Ashanti;Happy;262226;2002;89.488;hip hop, pop, R&B;0.515;2;-6.553
Gorillaz;Clint Eastwood;340920;2001;167.953;hip hop;0.694;10;-8.627
Twenty One Pilots;Stressed Out;202333;2015;169.977;rock;0.637;4;-5.677
Rihanna;Hard;250600;2009;182.032;hip hop, pop, R&B;0.746;1;-3.599
Mis-Teeq;All I Want - Sunship Radio Edit;207400;2004;134.079;pop, Dance/Electronic;0.919;9;-3.07
Ray J;One Wish;337640;2005;127.673;hip hop, pop, R&B;0.652;5;-7.042
Aaliyah;Try Again;284000;2002;93.02;hip hop, pop, R&B;0.622;6;-5.642
The Strokes;Reptilia;219826;2003;158.009;rock;0.649;9;-5.11
The Chainsmokers;Sick Boy;193200;2018;89.996;pop, Dance/Electronic;0.577;11;-7.518
XXXTENTACION;SAD!;166605;2018;75.023;hip hop;0.613;8;-4.88
Lilly Wood and The Prick;Prayer in C - Robin Schulz Radio Edit;189399;2014;123.002;pop, rock;0.886;9;-5.356
Katie Melua;Nine Million Bicycles;197160;2005;82.168;pop, easy listening, jazz;0.247;0;-15.636
The Chainsmokers;This Feeling;197946;2018;105.049;pop, Dance/Electronic;0.571;1;-7.906
Lemar;If There's Any Justice;229080;2004;89.993;R&B;0.665;6;-5.348
Lunay;Soltera - Remix;266086;2019;92.01;pop, latin;0.783;5;-4.271
Pitbull;Timber (feat. Ke$ha);204160;2012;129.992;hip hop, pop, latin;0.963;11;-4.087
Tweet;Oops (Oh My) [feat. Missy Elliott];237800;2002;159.963;hip hop, pop, R&B;0.536;10;-8.786
The Fray;Never Say Never;256613;2009;160.139;pop;0.492;8;-5.767
Zedd;Clarity;271426;2012;128.006;hip hop, pop, Dance/Electronic;0.78;8;-3.464
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;150533;2015;127.919;pop, Dance/Electronic;0.923;7;-4.525
Sam Smith;Like I Can;167065;2014;99.933;pop;0.627;7;-6.627
Lil Wayne;How To Love;240306;2011;153.992;hip hop, pop;0.661;11;-6.093
Colby O'Donis;What You Got;243013;2008;119.974;hip hop, pop, R&B;0.641;1;-6.718
Jessie J;Domino;231840;2011;126.986;hip hop, pop;0.557;7;-4.568
Hozier;Take Me To Church;241688;2014;128.945;Folk/Acoustic, pop;0.664;4;-5.303
Trey Songz;Na Na;231906;2015;96.975;hip hop, pop, R&B;0.476;9;-6.253
P.O.D.;Youth of the Nation;256240;2001;97.867;rock, metal;0.86;8;-7.533
David Archuleta;Crush;213520;2008;162.084;pop;0.664;0;-4.718
Usher;U Don't Have to Call;269400;2001;100.005;hip hop, pop, R&B;0.568;1;-4.958
Wiz Khalifa;Roll Up;227773;2011;125.358;hip hop, pop;0.805;3;-5.473
Ariana Grande;Break Free;214840;2014;129.956;pop;0.702;7;-5.324
Maggie Lindemann;Pretty Girl - Cheat Codes X CADE Remix;193613;2017;121.03;rock, pop;0.868;7;-4.661
Ariana Grande;Love Me Harder;236133;2014;98.992;pop;0.714;1;-4.389
Christina Aguilera;Candyman;194213;2006;172.976;pop;0.789;8;-4.713
George Michael;Amazing;265826;2004;128.429;set();0.754;10;-6.825
Usher;Scream;234693;2012;127.992;hip hop, pop, R&B;0.862;7;-5.18
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
Kodak Black;Tunnel Vision;268186;2017;171.853;hip hop;0.489;11;-7.724
Pretty Ricky;Your Body;240040;2005;90.038;hip hop, pop, R&B;0.594;4;-5.695
Jason Derulo;It Girl;192200;2011;91.993;hip hop, pop;0.718;1;-4.736
Amy Winehouse;Back To Black;241293;2006;122.728;R&B;0.422;7;-13.964
The Fray;You Found Me;241853;2009;151.994;pop;0.803;8;-5.412
Carl Thomas;I Wish;226760;2000;89.824;pop, R&B;0.666;1;-4.929
Fabolous;Make Me Better;253573;2007;86.491;hip hop, pop, R&B;0.599;11;-6.886
Birdy;Wings;252106;2013;83.235;pop;0.707;7;-4.534
Justin Bieber;Baby;214240;2010;65.043;pop;0.859;5;-5.237
J. Cole;MIDDLE CHILD;213593;2019;123.984;hip hop;0.364;8;-11.713
Gigi D'Agostino;The Riddle;285426;1999;127.002;pop;0.876;6;-6.87
Big Tymers;Still Fly;335613;2002;177.928;hip hop, pop;0.607;11;-3.538
Kylie Minogue;Can't Get You out of My Head;230640;2001;126.007;pop, Dance/Electronic;0.563;9;-7.516
Grouplove;Tongue Tied;218013;2011;112.96;pop, rock, Folk/Acoustic;0.936;3;-5.835
Ellie Goulding;Starry Eyed;176613;2010;149.967;pop, rock, Dance/Electronic;0.814;5;-5.346
Daddy Yankee;Dura;200480;2018;95.001;latin;0.84;1;-3.416
Of Monsters and Men;Little Talks;266600;2012;102.961;pop, rock, Folk/Acoustic;0.757;1;-5.177
Kanye West;Jesus Walks;193733;2004;87.312;hip hop;0.834;3;-4.686
"H ""two"" O";What's It Gonna Be (feat. Platnum);207476;2008;139.61;Dance/Electronic;0.9;9;-4.758
David Guetta;Gettin' Over You (feat. Fergie & LMFAO);188000;2010;129.944;hip hop, pop, Dance/Electronic;0.913;10;-5.077
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Daughtry;It's Not Over;215173;2016;145.959;pop, rock, metal;0.921;10;-3.476
Calvin Harris;This Is What You Came For (feat. Rihanna);222160;2016;123.962;hip hop, pop, Dance/Electronic;0.927;9;-2.787
Kesha;Take It Off;215200;2010;125.036;pop, Dance/Electronic;0.675;5;-5.292
Travis Scott;SICKO MODE;312820;2018;155.008;hip hop, Dance/Electronic;0.73;8;-3.714
MGMT;Little Dark Age;299960;2018;97.512;rock;0.712;6;-6.156
Avicii;Wake Me Up;247426;2013;124.08;pop, Dance/Electronic;0.783;2;-5.697
Beyoncé;Drunk in Love (feat. Jay-Z);323480;2014;140.03;pop, R&B;0.621;5;-6.902
Reik;Me Niego (feat. Ozuna & Wisin);221653;2018;94.023;pop, latin;0.779;0;-4.449
